item_number,question_type,question_text,correct_answer
1,true_false,信号是物理世界中传递信息的载体，而波形是信号在坐标系中的“数学照片”。,对
2,true_false,在傅里叶分析中，任何复杂的周期信号都可以看作是在正弦波和余弦波这两个“坐标轴”上的组合投影。,对
3,true_false,一个基础正弦波的形态，只需要由“振幅”和“频率”两个参数就能完全决定，不需要其他参数。,错
4,true_false,改变正弦波的“相位”，会使波形在时间轴上发生左右平移，但不会改变波的高低和疏密。,对
5,true_false,傅里叶定理指出，任何复杂的周期信号，只要满足狄利克雷条件，都可以被拆解成一系列简单的正弦波和余弦波的叠加。,对
6,true_false,狄利克雷条件要求信号必须非常平滑，不能有任何瞬间的跳变或突变。,错
7,true_false,“时域”视角关心的是信号里面包含了哪些频率成分，而“频域”视角关心的是信号强度随时间的变化。,错
8,true_false,傅里叶变换的作用，就是作为一座桥梁，将信号从时域视角转换到频域视角。,对
9,true_false,要在频域中完整地描述一个信号并能唯一重建它，只需要知道它的“幅度谱”就足够了。,错
10,true_false,幅度谱告诉我们某个频率成分“有多少”，而相位谱告诉我们这个成分“从哪里开始”。,对
